taxid	description
1807511	Bacillus phage vB_BsuP-Goe1
1806636	Rodent arterivirus
1807787	Rhizoctonia solani endornavirus 2
1808960	Phomopsis longicolla circular virus 1 strain=TWH P74
1808970	Angelica bushy stunt virus
1809767	Ixeridium yellow mottle virus 1
1809112	Lake Sarah-associated circular molecule 12
1809243	Fusarium graminearum mycotymovirus 1
1810396	Squash chlorotic leaf spot virus
1810705	Salmonella phage 118970_sal4
1810946	Great Saltee virus strain=RML 59972-6
1810944	Tunis virus strain=Brest/Ar/T2756
1810947	Zirqa virus strain=Por 7866
1810952	Clo Mor virus
1810950	Avalon virus strain=CanAr173
1811230	Callinectes sapidus reovirus 1
1812179	Bovine calicivirus strain Kirklareli
1811408	Privet leaf blotch-associated virus
1812308	Deinbollia mosaic virus
1813599	Brazilian marseillevirus strain=BH2014
1813613	Picornavirales Bu-3
1813615	Picornavirales Bu-1
1813769	Salmonella phage 64795_sal3
1813781	Salmonella phage 118970_sal1
1813771	Salmonella phage 118970_sal3
1813779	Salmonella phage 103203_sal5
1813783	Salmonella phage 100268_sal2
1813782	Salmonella phage 118970_sal2
1814279	Flavobacterium phage 23T
1814280	Flavobacterium phage Fpv10
1814281	Flavobacterium phage Fpv11
1814282	Flavobacterium phage Fpv2
1814283	Flavobacterium phage Fpv20
1814284	Flavobacterium phage Fpv3
1814286	Flavobacterium phage Fpv6
1814287	Flavobacterium phage Fpv7
1814957	Streptococcus virus 9871
1814285	Flavobacterium phage Fpv5
1814288	Flavobacterium phage Fpv8
1814958	Streptococcus virus 9872
1814959	Streptococcus virus 9873
1814960	Streptococcus virus 9874
1815511	Lactobacillus phage PLE2
1815509	Bacillus phage AR9
1815510	Lactobacillus phage PLE3
1815521	Synechococcus phage S-WAM1
1815581	Grapevine leafroll-associated virus 13
1815590	Escherichia phage vB_EcoM-UFV13
1815522	Synechococcus phage S-WAM2
1815582	Pseudomonas phage phiPMW
1815608	Mycobacterium phage Brocalys
1815630	Pseudomonas phage pf16
1815956	Pseudomonas phage phiNFS
1815631	Salmonella phage vB_SnwM_CGG4-1
1815955	Lactococcus phage PLgT-1
1815957	Pseudomonas phage phiMK
1815968	Salmonella phage SJ46
1815969	Mycobacterium phage Loser
1815972	Mycobacterium phage ArcherNM
1815976	Pseudomonas phage PaMx41
1815986	Erwinia phage vB_EamM_Deimos-Minion
1815987	Erwinia phage vB_EamM_RAY
1816484	Cronartium ribicola mitovirus 1
1815988	Erwinia phage vB_EamM_Simmy50
1815989	Erwinia phage vB_EamM_Special G
1816485	Cronartium ribicola mitovirus 2
1816486	Cronartium ribicola mitovirus 3
1816487	Cronartium ribicola mitovirus 4
1816488	Cronartium ribicola mitovirus 5
1817526	Ixeridium yellow mottle virus 2
1819301	Beatrice Hill virus
1819678	Cucurbit yellow mosaic alphasatellite
1820046	Porcine parvovirus 7
1820158	Human feces smacovirus 2 strain=SmaCV2
1820159	Human feces smacovirus 3 strain=SmaCV3.21
1820160	Human feces pecovirus strain=PeCV-NI
1821222	Culiseta flavivirus strain=502-13
1821228	Staphylococcus phage SLPW
1821227	Xishuangbanna aedes flavivirus
1821538	Mycobacterium phage Xeno
1821537	Mycobacterium phage Panchino
1821539	Mycobacterium phage SkinnyPete
1821540	Mycobacterium phage Pipsqueaks
1821545	Enseada virus strain=76V-25880
1821541	Mycobacterium phage Phrann
1821548	Gordonia phage Attis
1821551	Gordonia phage BetterKatz
1821549	Gordonia phage BaxterFox
1821552	Gordonia phage Emalyn
1821553	Gordonia phage Guacamole
1821554	Gordonia phage Hotorobo
1821555	Gordonia phage Katyusha
1821556	Gordonia phage Kita
1821557	Gordonia phage Lucky10
1821558	Gordonia phage Nymphadora
1821559	Gordonia phage Obliviate
1821560	Gordonia phage Phinally
1821561	Gordonia phage Schnabeltier
1821562	Gordonia phage SoilAssassin
1821564	Gordonia phage Vivi2
1821563	Gordonia phage UmaThurman
1821565	Gordonia phage Yeezy
1821727	Mycobacterium phage Shipwreck
1821566	Gordonia phage Yvonnetastic
1821723	Mycobacterium phage EvilGenius
1822365	Bovine retrovirus CH15
1823757	Kafue kinda chacma baboon virus
1825688	Rhizoctonia solani dsRNA virus 3
1825924	Barley virus G
1825931	Tomato yellow leaf curl Shuangbai virus - [Y4536]
1826059	Enterovirus SEV-gx
1825950	Triumfetta yellow mosaic virus
1826170	Tokyovirus A1
1826822	Alternaria arborescens mitovirus 1
1828512	Pepper yellow leaf curl virus PSSWS-14
1833824	Maize yellow dwarf virus-RMV2
1830242	Plantago lanceolata latent virus
1833938	Penicillium digitatum virus 1 strain=HS-RH1
1836608	Canine kobuvirus
1837089	Rhizoctonia oryzae-sativae mitovirus 1
1837217	Goat torovirus strain=SZ
1837218	Salmonella phage phSE-2
1837842	Escherichia phage 64795_ec1
1837830	Bacillus phage SalinJah
1837862	Weissella phage WCP30
1837850	Pseudomonas phage PEV2
1837867	Escherichia phage UFV-AREG1
1837875	Escherichia phage PE37
1837877	Proteus phage PM 116
1837876	Acinetobacter phage vB_AbaM_ME3
1838061	Gordonia phage Bachita
1837930	Escherichia phage MX01
1837931	Escherichia phage WG01
1838063	Gordonia phage Bowser
1838062	Gordonia phage Blueberry
1838064	Gordonia phage BritBrat
1838066	Gordonia phage Cozz
1838065	Gordonia phage ClubL
1838070	Gordonia phage KatherineG
1838067	Gordonia phage Demosthenes
1838072	Gordonia phage McGonagall
1838071	Gordonia phage Kvothe
1838073	Gordonia phage Monty
1838074	Gordonia phage OneUp
1838075	Gordonia phage Orchid
1838077	Gordonia phage Rosalind
1838078	Gordonia phage Smoothie
1838079	Gordonia phage Soups
1838080	Gordonia phage Splinter
1838081	Gordonia phage Utz
1838082	Gordonia phage Vendetta
1838083	Gordonia phage Wizard
1838084	Gordonia phage Woes
1838137	Propionibacterium phage PFR1
1838138	Propionibacterium phage PFR2
1840528	Sclerotinia sclerotiorum mycoreovirus 4
1840236	Staphylococcus phage P1105
1841195	Quezon virus
1841147	Bhindi yellow vein alphasatellite
1843734	Faeces associated gemycircularvirus 14
1843735	Faeces associated gemycircularvirus 15
1843736	Faeces associated gemycircularvirus 16
1843737	Faeces associated gemycircularvirus 17
1843738	Faeces associated gemycircularvirus 18
1843739	Faeces associated gemycircularvirus 19
1843741	Faeces associated gemycircularvirus 21
1843742	Faeces associated gemycircularvirus 22
1843740	Faeces associated gemycircularvirus 20
1843749	Bovine faeces associated smacovirus 1
1843751	Bovine faeces associated smacovirus 3
1843750	Bovine faeces associated smacovirus 2
1843752	Bovine faeces associated smacovirus 4
1843756	Sheep faeces associated smacovirus 1
1843754	Bovine faeces associated smacovirus 6
1843753	Bovine faeces associated smacovirus 5
1843757	Sheep faeces associated smacovirus 2
1843758	Sheep faeces associated smacovirus 3
1843761	Sewage associated gemycircularvirus 3
1843764	Bovine faeces associated circular DNA virus 1
1843765	Bovine faeces associated circular DNA virus 2
1843763	Bovine faeces associated circular DNA molecule 1
1843766	Chamois faeces associated circular DNA virus 1
1843767	Deer faeces associated circular DNA virus 1
1843768	Duck faeces associated circular DNA virus 1
1843769	Duck faeces associated circular DNA virus 2
1843770	Duck faeces associated circular DNA virus 3
1843771	Llama faeces associated circular DNA virus-1
1843772	Porcine faeces associated circular DNA molecule-1
1843773	Porcine stool-associated circular virus
1844920	Blacklegged tick phlebovirus 3
1844477	Pseudomonas phage NP1
1844927	Lonestar tick chuvirus 1
1844928	Avian-like circovirus
1846259	Gannoruwa bat lyssavirus
1846168	Lactobacillus phage P1
1848040	Water chestnut soymovirus 1
1848042	Fusarium poae dsRNA virus 2
1848151	Fusarium poae mitovirus 2
1848150	Fusarium poae mitovirus 1
1848152	Fusarium poae mitovirus 3
1848153	Fusarium poae mitovirus 4
1848169	Fusarium poae dsRNA virus 3
1849328	Enterovirus goat/JL14
1849335	Arabidopsis halleri partitivirus 1
1849532	Fusarium poae narnavirus 2
1849531	Fusarium poae narnavirus 1
1849533	Fusarium poae partitivirus 2
1849534	Fusarium poae virus 1-240374
1849537	Fusarium poae fusarivirus 1
1849535	Fusarium poae victorivirus 1
1849539	Fusarium poae alternavirus 1
1849544	Fusarium poae negative-stranded virus 1
1849543	Fusarium poae mycovirus 2
1849542	Fusarium poae mycovirus 1
1849545	Fusarium poae negative-stranded virus 2
1849838	Grapevine fabavirus
1850906	Catopsilia pomona nucleopolyhedrovirus
1851087	Kabuto mountain virus strain=T32
1851130	Human papillomavirus 187
1852597	Xanthomonas phage Xf109
1852562	Pseudomonas phage VSW-3
1852564	Bacillus phage Belinda
1852598	Ralstonia phage Rs551
1852622	Xanthomonas phage Xoo-sp2
1852625	Klebsiella phage vB_KpnM_KpV477
1852627	Morganella phage vB_MmoP_MP2
1852563	Escherichia phage vB_EcoS_NBD2
1852629	Acinetobacter phage vB_AbaS_TRS1
1852628	Morganella phage vB_MmoM_MP1
1852630	Escherichia phage ECA2
1852640	Serratia phage vB-Sru-IME250
1852644	Pseudomonas phage phiYY
1852641	Erwinia phage vB_EamP_Frozen
1852657	Klebsiella phage KpV475
1853865	Euphorbia caput-medusae latent virus
1853762	Jasmine virus C
1855510	Prunus virus F
1856030	Golden shiner totivirus
1856031	Pecan mosaic-associated virus
1856565	Bellavista virus
1856627	Phytomonas serpens narnavirus 1
1856767	Leptomonas seymouri Narna-like virus 1
1857100	Salmonella phage BPS15Q2
1857099	Salmonella phage BPS11Q3
1858671	Magnaporthe oryzae ourmia-like virus
1857323	Tospovirus kiwifruit/YXW/2014
1859149	Torque teno mini virus 18
1859148	Leptomonas moramango leishbunyavirus
1859161	Sclerotinia nivalis victorivirus 1
1862127	Wild onion symptomless virus
1862824	Gemycircularvirus HV-GcV1
1859492	Kaumoebavirus
1862825	Gemycircularvirus HV-GcV2
1862958	Lactococcus phage D4410
1862959	Lactococcus phage D4412
1862960	Lactococcus phage M5938
1862961	Lactococcus phage M6162
1862962	Lactococcus phage M6165
1862978	Etheostoma fonticola aquareovirus
1863007	Shigella phage SHBML-50-1
1863008	Shigella phage SHFML-11
1863009	Shigella phage SHFML-26
1863010	Shigella phage SHSML-45
1864484	Ungulate bocaparvovirus 6 strain=Ungulate bocaparvovirus 6 strain USII/03
1863011	Shigella phage SHSML-52-1
1864622	Enterobacter phage Arya
1867125	Cutavirus strain=BR-337
1867943	Wolkberg virus
1864623	Enterobacter phage Tyrion
1868169	Salmonella phage GG32
1868170	Salmonella phage MA12
1868218	Bat associated circovirus 1
1868219	Bat associated circovirus 2
1868472	Yacon virus A
1868221	Porcine circovirus 3 strain=29160
1868594	Clostridium phage CDKM9
1868595	Clostridium phage CDKM15
1868599	Bacillus phage PfEFR-5
1868658	Human astrovirus
1868621	Diaphorina citri flavi-like virus
1868596	Pseudomonas phage MD8
1868598	Bacillus phage PfEFR-4
1868654	Salmonella phage vB-SalM-PM10
1868659	Sugarcane striate virus
1868826	Bacillus phage vB_BtS_BMBtp14
1868853	Lactococcus phage 62503
1868848	Lactococcus phage 50902
1868844	Staphylococcus phage vB_SscM-1
1870981	Culex tritaeniorhynchus totivirus
1871132	Poecivirus BCCH-449
1871153	Nylanderia fulva virus 1
1871153	Nylanderia fulva virus 1 strain=WPZ1
1871313	Citrobacter phage vB_CfrM_CfP1
1871314	Phage MedPE-SWcel-C56
1871631	Rhizoctonia solani flexivirus 1
1871678	Lactococcus phage 28201
1871681	Lactococcus phage 50101
1871687	Lactococcus phage 63301
1871690	Lactococcus phage 98201
1872708	Antonospora locustae virus 1
1872710	Fusarium graminearum deltaflexivirus 1
1872719	Botrytis ourmia-like virus
1871712	Enterobacter phage KNP7 strain=KPN7
1873341	Bacillus phage Deep-Purple
1873452	Rhodovulum phage vB_RhkS_P1
1873455	Atypical porcine pestivirus 1
1873696	Mycobacterium phage Gardann
1873698	Pteropox virus strain=Australia
1873777	Streptomyces phage Nanodon
1873778	Escherichia virus AAPEc6
1873887	Mycobacterium phage Sneeze
1873891	Mycobacterium phage Papez
1873889	Mycobacterium phage Makemake
1873895	Mycobacterium phage Gompeii16
1873903	Mycobacterium phage Bircsak
1873949	Pseudomonas phage Andromeda
1873954	Cronobacter phage vB_CsaM_leE
1873958	Pectobacterium phage PP16
1873985	Salmonella phage IME207
1873959	Pectobacterium phage PP90
1873990	Escherichia phage vB_EcoM_Alf5
1873993	Pseudomonas phage UNO-SLW1
1873996	Streptomyces phage Lorelei
1873998	Bacillus phage Kida
1873999	Bacillus phage DirtyBetty
1874000	Bacillus phage Aurora
1874001	Bacillus phage Claudi
1874002	Bacillus phage Stitch
1874267	Maize-associated totivirus 2
1874015	Mycobacterium phage Laurie
1874539	Pseudoalteromonas phage BS5
1874540	Pseudoalteromonas phage PH1
1874585	Lactococcus phage 10W18
1874572	Lactococcus phage 16W23
1874587	Lactococcus phage 13W11L
1874589	Lactococcus phage 3R16S
1874593	Lactococcus phage i0139
1874886	Ramie mosaic Yunnan virus
1880822	Klebsiella phage PMBT1
1879051	Haloarcula hispanica pleomorphic virus 3
1880590	Tenacibaculum phage pT24
1881104	Escherichia phage ESCO13
1881951	Loveridges garter snake virus 1 strain=251327
1881630	Velvet bean golden mosaic virus
1881141	Mycobacterium phage Magnito
1882382	Sea otter parvovirus 1
1882400	Klebsiella phage vB_KpnP_KpV763
1883104	Adonis mosaic virus
1881013	Senna mosaic virus
1883200	Escherichia phage Envy
1882439	Mycobacterium phage Fortunato
1883202	Escherichia phage Gluttony
1883365	Synechococcus phage S-CAM22
1883366	Synechococcus phage S-CAM3
1883367	Synechococcus phage S-CAM4
1883368	Synechococcus phage S-CAM7
1883369	Synechococcus phage S-CAM9
1883370	Erwinia phage vB_EamM_Asesino
1883371	Erwinia phage vB_EamM_ChrisDB
1883372	Erwinia phage vB_EamM_EarlPhillipIV
1883373	Erwinia phage vB_EamM_Huxley
1883374	Erwinia phage vB_EamM_Kwan
1883377	Erwinia phage vB_EamM_Phobos
1883375	Erwinia phage Machina
1883379	Erwinia phage vB_EamM_Caitlin
1884832	Gompholobium virus A
1884873	Croton golden mosaic virus
1884874	Hybanthus yellow mosaic virus
1884875	Verbena mottle virus
1884991	Senna leaf curl virus
1884879	Parrot bornavirus 5
1884917	Aquatic bird bornavirus 2
1885242	Cronobacter phage vB_CsaM_leB
1885248	Variegated squirrel bornavirus 1
1885565	Pomona leaf-nosed bat associated polyomavirus
1885927	Sparus aurata polyomavirus 1
1885571	Rat parvovirus 2
1885928	Sparus aurata papillomavirus 1
1887213	Bos taurus papillomavirus 13 strain=14RO12
1886606	Callistephus mottle virus
1887214	Bos taurus papillomavirus 16
1887216	Bos taurus papillomavirus 18
1887217	Bos taurus papillomavirus 19
1887215	Bos taurus papillomavirus 17
1887218	Bos taurus papillomavirus 20
1887219	Bos taurus papillomavirus 21
1887314	Ranavirus maximus
1887645	Gordonia phage Cucurbita
1887643	Gordonia phage CaptainKirk2
1887644	Gordonia phage CarolAnn
1887641	Gordonia phage Bantam
1887646	Gordonia phage Eyre
1887647	Gordonia phage Ghobes
1887648	Gordonia phage Hedwig
1887652	Gordonia phage Remus
1887649	Gordonia phage JSwag
1887650	Gordonia phage Jumbo
1887651	Gordonia phage Nyceirae
1887653	Gordonia phage Strosahl
1887654	Gordonia phage Terapin
1887655	Gordonia phage Twister6
1888308	Wabat virus strain=KH1
1888309	Washington bat picornavirus strain=UW1
1888311	Bat tymo-like virus strain=UW1
1887656	Gordonia phage Zirinka
1888318	Egaro virus strain=UW1
1888317	Duwamo virus strain=UW1
1890365	Coccinia mottle virus
1891704	Sophora japonica powdery mildew-associated partitivirus
1890427	Deltasatellite sat-603
1891718	Cardioderma cor polyomavirus 1
1891703	Mycobacterium phage Tonenili
1891719	Chlorocebus pygerythrus polyomavirus 1
1891720	Chlorocebus pygerythrus polyomavirus 3
1891729	Mesocricetus auratus polyomavirus 1
1891722	Eidolon helvum polyomavirus 1
1891736	Pan troglodytes polyomavirus 4
1891735	Pan troglodytes polyomavirus 3
1891739	Pan troglodytes polyomavirus 7
1891738	Pan troglodytes polyomavirus 6
1891737	Pan troglodytes polyomavirus 5
1891754	Bos taurus polyomavirus 1
1891758	Chlorocebus pygerythrus polyomavirus 2
1891761	Equus caballus polyomavirus 1
1891756	Delphinus delphis polyomavirus 1
1891762	Human polyomavirus 1
1891767	Macaca mulatta polyomavirus 1
1891764	Human polyomavirus 3
1891770	Mus musculus polyomavirus 2 strain=Kilham
1891769	Miniopterus africanus polyomavirus 1
1891768	Mastomys natalensis polyomavirus 1
1891773	Pteronotus davyi polyomavirus 1
1891963	Mycobacterium phage Gengar
1892235	Seattle Prectang virus strain=UW1
1892236	Mothra virus strain=JG1
1892416	Rousettus bat coronavirus
1895000	Sclerotium hydrophilum virus 1
1895333	Sulfolobus islandicus rudivirus 3
1897429	Arthrobacter phage Oxynfrius
1897430	Klebsiella phage vB_KpnP_KpV767
1897428	Arthrobacter phage Greenhouse
1897431	Klebsiella phage vB_KpnP_KpV766
1897436	Salinivibrio phage SMHB1
1897434	Serratia phage SM9-3Y
1897437	Rhodococcus phage Weasels2
1897495	Escherichia phage ESCO5
1897486	Mycobacterium phage BabyRay
1897497	Mycobacterium phage Tortellini
1897500	Mycobacterium phage Taquito
1897501	Mycobacterium phage Kersh
1897515	Klebsiella phage phiKpS2
1897525	Streptomyces phage Rima
1897532	Propionibacterium phage B22
1897531	Propionibacterium phage Anatole
1897534	Propionibacterium phage Doucette
1897533	Propionibacterium phage B3
1897536	Propionibacterium phage E6
1897537	Propionibacterium phage G4
1897538	Common bean-associated gemycircularvirus
1897539	Leuconostoc phage LDG
1897540	Mycobacterium phage Mundrea
1897542	Mycobacterium phage PacerPaul
1897548	Mycobacterium phage Stasia
1897549	Mycobacterium phage Taheera
1897732	Aphis glycines virus 2
1897641	Escherichia phage ZG49
1897736	Leuconostoc phage Ln-7
1897739	Salmonella phage ST-101
1897741	Salmonella phage ST-374
1897740	Salmonella phage ST-118
1897742	Salmonella phage ST-W77
1897743	Pectobacterium phage PP2
1897769	Mycobacterium phage WillSterrel
1898060	Lymphocystis disease virus Sa
1898175	Eimeria stiedai RNA virus 1
1899566	Ligustrum virus A
1899219	Synedrella leaf curl virus
1902501	Rosavirus B strain=RNCW0602091R
1902502	Rosavirus C strain=RATLC11A
1903318	Primate norovirus strain=SimianNoV-nj
1903340	Anopheles flavivirus variant 1
1903560	Bolahun virus variant 2
1904408	Miniopterus schreibersii polyomavirus 1 strain=12SuB07
1904409	Miniopterus schreibersii polyomavirus 2 strain=12SuB08
1904439	Simian retrovirus 8 strain=SRV8/SUZ/2012
1904410	Rhinolophus hildebrandtii polyomavirus 1 strain=12SuB17
1904411	Rousettus aegyptiacus polyomavirus 1 strain=12SuB01
1904491	Campylobacter phage vB_CjeM_Los1
1904876	Human DNA virus
1904880	Macroptilium bright mosaic virus
1904881	Macroptilium common mosaic virus
1904882	Sida angular mosaic virus
1904884	Wissadula yellow mosaic virus
1904883	Sida chlorotic vein virus
1905556	Rusa timorensis papillomavirus type 2
1905830	Physostegia chlorotic mottle virus
1904925	Klebsiella phage KP-Rio/2015
1906170	Bastrovirus-like_virus/VietNam/Bat/17819_21
1906172	Bastrovirus/VietNam/Bat/16715_78
1906175	Bastrovirus/VietNam/Rat/16715_10
1906173	Bastrovirus/VietNam/Porcine/17489_85
1906245	Moku virus
1906176	Bastrovirus/VietNam/Rat/16715_26
1906178	Bastrovirus/VietNam/Rat/16715_58
1906668	Malvastrum bright yellow mosaic virus
1906317	Grapevine geminivirus A
1906244	Cyclophragma undans nucleopolyhedrovirus
1907767	Pigeon adenovirus 2
1907771	Parus major densovirus
1907781	Klebsiella phage vB_KpnP_PRA33
1907782	Klebsiella phage vB_KpnP_BIS33
1907784	Klebsiella phage vB_KpnM_BIS47
1908804	Tetraparvovirus sp.
1907783	Klebsiella phage vB_KpnP_IL33
1907787	Picobirnavirus sp. strain=PBV/roe_deer/SLO/D38-14/2014
1908805	Amdoparvovirus sp.
1908806	Ceratobasidium endornavirus A
1908807	Ceratobasidium endornavirus B
1908811	Ceratobasidium endornavirus G
1908813	Ceratobasidium endornavirus C
1908808	Ceratobasidium endornavirus D
1909400	Bacillus phage QCM11
1911102	Lodeiro virus strain=N10
1911104	King virus strain=UWV2
1911434	Orgi virus strain=SP1
1911436	Pidgey virus strain=M6
1911438	Bradson virus strain=HN1
1911435	Gata virus strain=M4
1911442	Mosquito dicistrovirus strain=FH1
1911439	Corey virus strain=UWV
1911554	Miniopterus schreibersii bat bocavirus strain=str24
1911555	Rhinolophus sinicus bocaparvovirus strain=str15
1912234	Riptortus pedestris virus-1
1912318	Klebsiella phage vB_Kpn_IME260
1912319	Klebsiella phage vB_KpnP_KpV48
1912320	Klebsiella phage vB_KpnS_KpV522
1912321	Klebsiella phage vB_KpnM_KpV52
1912598	Cherry associated luteovirus
1912759	Equus caballus papillomavirus 8 strain=NCSU
1912492	Salmonella phage UPF_BP1
1913024	White clover mottle virus strain=CD
1912978	Mycobacterium phage Urkel
1912975	Mycobacterium phage DarthPhader
1913035	Mycobacterium phage Amelie
1913034	Streptomyces phage Joe
1913038	Mycobacterium phage SuperGrey
1913044	Mycobacterium phage Lukilu
1913047	Salmonella phage UPF_BP2
1913048	Shigella phage SH6
1913049	Shigella phage SH7
1913109	Vibrio phage vB_VspP_pVa5
1913112	Aeribacillus phage AP45
1913114	Salmonella phage vB_SenS_Sasha
1913124	Cowpea polerovirus 1
1913125	Cowpea polerovirus 2
1913118	Mycobacterium phage Empress
1913446	Staphylococcus phage SpT152
1913570	Pseudomonas phage PA5
1913572	Klebsiella phage KPV15
1913574	Klebsiella phage KPV811
1913591	Streptomyces phage BRock
1913581	Staphylococcus phage SCH1
1913575	Pseudomonas phage PA10
1913649	Nigrospora oryzae fusarivirus 1
1914209	Escherichia virus RB14
1914900	Synedrella yellow vein clearing virus
1914442	Rodent astrovirus
1915202	Common bean mottle virus
1916098	Escherichia phage Utah
1915203	Common bean severe mosaic virus
1916099	Pseudomonas phage Zigelbrucke
1916107	Pseudoalteromonas phage C5a
1916101	Pectobacterium phage PP74
1916120	Mycobacterium phage LeoAvram
1916111	Vibrio phage JSF3
1916124	Bordetella phage CN2
1916123	Bordetella phage CN1
1916125	Bordetella phage FP1
1916647	Burke-Gilman virus strain=RC1
1916647	Burke-Gilman virus strain=BG1
1916127	Acinetobacter phage SH-Ab 15519
1916126	Bordetella phage MW2
1916414	Pectobacterium phage PP101
1916650	Centovirus AC
1917013	Bosavirus MS-2016a
1916701	Trichoplusia ni granulovirus LBIV-12
1917412	Picornaviridae sp. rodent/Ee/PicoV/NX2015
1917080	Sodiomyces alkalinus fusarivirus 1
1917232	Only Syngen Nebraska virus 5
1919062	Sugarcane chlorotic streak virus
1918014	Botrytis porri botybirnavirus 1 strain=GarlicBc-72
1919071	Menghai rhabdovirus
1919247	Rattus norvegicus polyomavirus 2
1920308	Streptomyces phage Ididsumtinwong
1919083	Cynomolgus cytomegalovirus
1920310	Streptomyces phage PapayaSalad
1920294	Salmonella phage SP01
1920311	Streptomyces phage Picard
1920312	Streptomyces phage Raleigh
1920698	Euscelidius variegatus virus 1
1920379	Staphylococcus phage P240
1920526	Azobacteroides phage ProJPt-Bp1
1920748	NL63-related bat coronavirus strain=BtKYNL63-9b
1920748	NL63-related bat coronavirus strain=BtKYNL63-9a
1920772	Gentian ovary ringspot virus
1920988	Diabrotica virgifera virgifera virus 2
1922325	Giraffa camelopardalis papillomavirus 1
1920989	Diabrotica virgifera virgifera virus 3
1921009	Arachis pintoi virus
1921414	Caligus rogercresseyi rhabdovirus strain=CrRV-Ch01
1921825	Saccharomyces kudriavzevii virus L-A1
1922351	Beihai Nido-like virus 2 strain=BHXun32263
1922352	Beihai anemone virus 1 strain=BHHK129576
1922355	Beihai barnacle virus 11 strain=BHTH10280
1922354	Beihai barnacle virus 10 strain=BHTH18714
1922353	Beihai astro-like virus strain=BHWZXX13371
1922357	Beihai barnacle virus 13 strain=BHTH16173
1922356	Beihai barnacle virus 12 strain=BHTH16091
1922359	Beihai barnacle virus 15 strain=BHTH16139
1922360	Beihai barnacle virus 2 strain=BHTH16123
1922365	Beihai barnacle virus 7 strain=BHTH16013
1922362	Beihai barnacle virus 4 strain=BHTH16136
1922361	Beihai barnacle virus 3 strain=BHTH16145
1922367	Beihai barnacle virus 9 strain=BHTH10927
1922366	Beihai barnacle virus 8 strain=BHTH14652
1922368	Beihai blue swimmer crab virus 1 strain=YYSZX13554
1922370	Beihai blue swimmer crab virus 3 strain=YYSZX17757
1922377	Wenling chuvirus-like virus 1 strain=WLJQ101487
1922376	Beihai charybdis crab virus 1 strain=BHXun33339
1922378	Wenling chuvirus-like virus 2 strain=WLJQ104274
1922379	Beihai echinoderm virus 1 strain=BHJP42036
1922381	Beihai hepe-like virus 10 strain=BHZY60406
1922385	Beihai hepe-like virus 8 strain=BHZY60925
1922386	Beihai hepe-like virus 9 strain=HOU157038
1922390	Beihai hermit crab virus 3 strain=BHJJX21702
1922387	Beihai hepe-like virus 4 strain=BHZY60842
1922388	Beihai hermit crab virus 1 strain=BHWZXX15637
1922392	Beihai horseshoe crab virus 1 strain=HOU157708
1922393	Beihai hypo-like virus 1 strain=BHZC36965
1922428	Beihai mantis shrimp virus 1 strain=BHXG26050
1922429	Beihai mantis shrimp virus 2 strain=BHXG46195
1922430	Beihai mantis shrimp virus 3 strain=BHXG26678
1922431	Beihai mantis shrimp virus 4 strain=BHXG23944
1922432	Beihai mantis shrimp virus 5 strain=BHXG25299
1922433	Beihai mantis shrimp virus 6 strain=BHXG24422
1922434	Beihai mollusks virus 1 strain=WZSLuoI86140
1922435	Beihai mollusks virus 2 strain=WZSLuoI86113
1922436	Beihai narna-like virus 1 strain=BWBFG61141
1922437	Beihai narna-like virus 10 strain=BHZY60512
1922438	Beihai narna-like virus 11 strain=BWBFG39775
1922440	Beihai narna-like virus 13 strain=BHWZXX14912
1922439	Beihai narna-like virus 12 strain=BHZC35702
1922441	Beihai narna-like virus 14 strain=BHJP52694
1922442	Beihai narna-like virus 15 strain=BHHZL10358
1922443	Beihai narna-like virus 16 strain=BHJP26864
1922445	Beihai narna-like virus 18 strain=HOU157597
1922444	Beihai narna-like virus 17 strain=SCJXSX39297
1922446	Beihai narna-like virus 19 strain=BHNXC41285
1922448	Beihai narna-like virus 20 strain=BWBFG40664
1922447	Beihai narna-like virus 2 strain=BHZY58217
1922449	Beihai narna-like virus 21 strain=SCJXSX34167
1922452	Beihai narna-like virus 24 strain=BHXG26712
1922450	Beihai narna-like virus 22 strain=BHBJDX18651
1922451	Beihai narna-like virus 23 strain=BHZY57139
1922455	Beihai narna-like virus 3 strain=BHBJDX18174
1922456	Beihai narna-like virus 4 strain=BHZY53599
1922454	Beihai narna-like virus 26 strain=BHHQ66335
1922458	Beihai narna-like virus 6 strain=BHZC37402
1922460	Beihai narna-like virus 8 strain=BHZY59840
1922461	Beihai narna-like virus 9 strain=HOU146315
1922464	Beihai noda-like virus 11 strain=BHJJX49550
1922483	Beihai noda-like virus 29 strain=BHWZXX15622
1922471	Beihai noda-like virus 18 strain=YYSZX13070
1922487	Beihai noda-like virus 5 strain=HOU157766
1922492	Beihai octopus virus 1 strain=BHZY180716
1922493	Beihai octopus virus 2 strain=BHZY60909
1922496	Beihai paphia shell virus 1 strain=BHZY60696
1922497	Beihai paphia shell virus 2 strain=YYSZX17625
1922499	Beihai paphia shell virus 4 strain=BWBFG40859
1922498	Beihai paphia shell virus 3 strain=BWBFG40853
1922504	Beihai partiti-like virus 2 strain=BHZY60797
1922513	Beihai permutotetra-like virus 2 strain=HOU234589
1922524	Beihai picobirna-like virus 7 strain=BHNXC57916
1922525	Beihai picobirna-like virus 8 strain=BHNXC71065
1922527	Beihai picorna-like virus 1 strain=BHZC36988
